station,date,year,month,day,variable,avg_value
2,2024-01-25,2024,1,25,O3,5.683169173913044
2,2024-01-25,2024,1,25,PM10,73.37276739130435
2,2024-01-25,2024,1,25,PM2,36.583531739130436
2,2024-01-25,2024,1,25,RAIN,0.0017753478260869565
2,2024-01-25,2024,1,25,RH,61.62371391304348
2,2024-01-25,2024,1,25,So2,3.8573333913043477
2,2024-01-25,2024,1,25,WDD,208.23545217391305
2,2024-01-25,2024,1,25,WDS,2.792095347826087
2,2024-01-26,2024,1,26,O3,6.118296565217391
2,2024-01-26,2024,1,26,PM10,79.44867652173913
2,2024-01-26,2024,1,26,PM2,38.92682695652174
2,2024-01-26,2024,1,26,RAIN,0.002173913043478261
2,2024-01-26,2024,1,26,RH,70.22720391304348
2,2024-01-26,2024,1,26,So2,4.579457130434783
2,2024-01-26,2024,1,26,WDD,222.64481304347828
2,2024-01-26,2024,1,26,WDS,2.894178652173913
2,2024-01-27,2024,1,27,O3,5.255858304347826
2,2024-01-27,2024,1,27,PM10,81.98288913043478
2,2024-01-27,2024,1,27,PM2,46.18160808695652
2,2024-01-27,2024,1,27,RAIN,0.00044686956521739136
2,2024-01-27,2024,1,27,RH,71.6081152173913
2,2024-01-27,2024,1,27,So2,3.0523752608695656
2,2024-01-27,2024,1,27,WDD,231.8975913043478
2,2024-01-27,2024,1,27,WDS,3.1183454782608697
2,2024-01-28,2024,1,28,O3,4.769249043478261
2,2024-01-28,2024,1,28,PM10,41.98244173913044
2,2024-01-28,2024,1,28,PM2,25.707044347826088
2,2024-01-28,2024,1,28,RAIN,0.002572434782608696
2,2024-01-28,2024,1,28,RH,75.19475304347826
2,2024-01-28,2024,1,28,So2,1.8614639130434782
2,2024-01-28,2024,1,28,WDD,229.21435217391303
2,2024-01-28,2024,1,28,WDS,2.9165400000000004
2,2024-01-29,2024,1,29,O3,5.225411347826087
2,2024-01-29,2024,1,29,PM10,57.82956260869565
2,2024-01-29,2024,1,29,PM2,26.61124830434783
2,2024-01-29,2024,1,29,RAIN,0.01015704347826087
2,2024-01-29,2024,1,29,RH,68.77640782608695
2,2024-01-29,2024,1,29,So2,2.3479971739130434
2,2024-01-29,2024,1,29,WDD,185.2477056521739
2,2024-01-29,2024,1,29,WDS,3.4413164347826086
2,2024-01-30,2024,1,30,O3,5.195648086956521
2,2024-01-30,2024,1,30,PM10,73.43781347826086
2,2024-01-30,2024,1,30,PM2,31.189127391304346
2,2024-01-30,2024,1,30,RAIN,0.0053623043478260865
2,2024-01-30,2024,1,30,RH,70.7793847826087
2,2024-01-30,2024,1,30,So2,1.8740110434782609
2,2024-01-30,2024,1,30,WDD,212.42064217391302
2,2024-01-30,2024,1,30,WDS,3.5730435217391308
2,2024-01-31,2024,1,31,O3,5.090730652173913
2,2024-01-31,2024,1,31,PM10,70.03013782608696
2,2024-01-31,2024,1,31,PM2,33.94201739130435
2,2024-01-31,2024,1,31,RAIN,0.000362304347826087
2,2024-01-31,2024,1,31,RH,74.03677565217392
2,2024-01-31,2024,1,31,So2,2.1311867826086957
2,2024-01-31,2024,1,31,WDD,231.29758695652174
2,2024-01-31,2024,1,31,WDS,3.3042029130434782
2,2024-02-01,2024,2,1,O3,4.113974173913044
2,2024-02-01,2024,2,1,PM10,62.10663434782608
2,2024-02-01,2024,2,1,PM2,31.506531304347824
2,2024-02-01,2024,2,1,RAIN,0.020857565217391304
2,2024-02-01,2024,2,1,RH,71.88998913043478
2,2024-02-01,2024,2,1,So2,2.125049590909091
2,2024-02-01,2024,2,1,WDD,213.79106956521738
2,2024-02-01,2024,2,1,WDS,3.5639191739130434
2,2024-02-02,2024,2,2,O3,4.479608043478261
2,2024-02-02,2024,2,2,PM10,43.39539913043478
2,2024-02-02,2024,2,2,PM2,22.801401739130434
2,2024-02-02,2024,2,2,RAIN,0.0015217391304347824
2,2024-02-02,2024,2,2,RH,76.13245217391304
2,2024-02-02,2024,2,2,So2,1.8348958260869566
2,2024-02-02,2024,2,2,WDD,221.8455304347826
2,2024-02-02,2024,2,2,WDS,2.9790036956521737
2,2024-02-03,2024,2,3,O3,4.537063043478261
2,2024-02-03,2024,2,3,PM10,22.158820000000002
2,2024-02-03,2024,2,3,PM2,12.121415043478262
2,2024-02-03,2024,2,3,RAIN,0.2889915652173913
2,2024-02-03,2024,2,3,RH,74.90908173913043
2,2024-02-03,2024,2,3,So2,1.4288589999999999
2,2024-02-03,2024,2,3,WDD,222.52572608695652
2,2024-02-03,2024,2,3,WDS,3.0929106956521735
2,2024-02-04,2024,2,4,O3,4.188104478260869
2,2024-02-04,2024,2,4,PM10,19.704375260869565
2,2024-02-04,2024,2,4,PM2,13.201354086956522
2,2024-02-04,2024,2,4,RAIN,0.02439313043478261
2,2024-02-04,2024,2,4,RH,75.53464043478262
2,2024-02-04,2024,2,4,So2,1.5067914782608696
2,2024-02-04,2024,2,4,WDD,196.21060043478263
2,2024-02-04,2024,2,4,WDS,2.560701347826087
2,2024-02-05,2024,2,5,O3,3.2101830000000002
2,2024-02-05,2024,2,5,PM10,16.63547004347826
2,2024-02-05,2024,2,5,PM2,11.566184043478263
2,2024-02-05,2024,2,5,RAIN,0.2368237391304348
2,2024-02-05,2024,2,5,RH,80.62178869565217
2,2024-02-05,2024,2,5,So2,0.9332960434782609
2,2024-02-05,2024,2,5,WDD,227.8878043478261
2,2024-02-05,2024,2,5,WDS,2.722741608695652
2,2024-02-06,2024,2,6,O3,2.2937524782608696
2,2024-02-06,2024,2,6,PM10,31.436305652173914
2,2024-02-06,2024,2,6,PM2,15.901285782608696
2,2024-02-06,2024,2,6,RAIN,0.005108652173913044
2,2024-02-06,2024,2,6,RH,77.13247
2,2024-02-06,2024,2,6,So2,1.1992827391304348
2,2024-02-06,2024,2,6,WDD,226.52669
2,2024-02-06,2024,2,6,WDS,3.6212681304347827
2,2024-02-07,2024,2,7,O3,3.368673260869565
2,2024-02-07,2024,2,7,PM10,37.69984695652174
2,2024-02-07,2024,2,7,PM2,19.787433347826088
2,2024-02-07,2024,2,7,RAIN,0.0
2,2024-02-07,2024,2,7,RH,76.61749478260869
2,2024-02-07,2024,2,7,So2,2.238344347826087
2,2024-02-07,2024,2,7,WDD,205.00138347826086
2,2024-02-07,2024,2,7,WDS,3.358689565217391
2,2024-02-08,2024,2,8,O3,2.760182304347826
2,2024-02-08,2024,2,8,PM10,41.723741304347826
2,2024-02-08,2024,2,8,PM2,21.780354739130438
2,2024-02-08,2024,2,8,RAIN,0.0
2,2024-02-08,2024,2,8,RH,78.02118304347826
2,2024-02-08,2024,2,8,So2,1.392998652173913
2,2024-02-08,2024,2,8,WDD,234.30754782608693
2,2024-02-08,2024,2,8,WDS,3.1709783043478263
2,2024-02-09,2024,2,9,O3,2.2090893913043477
2,2024-02-09,2024,2,9,PM10,39.48659695652174
2,2024-02-09,2024,2,9,PM2,19.42047913043478
2,2024-02-09,2024,2,9,RAIN,0.039420304347826084
2,2024-02-09,2024,2,9,RH,76.72186565217392
2,2024-02-09,2024,2,9,So2,2.5479075652173915
2,2024-02-09,2024,2,9,WDD,180.5277043478261
2,2024-02-09,2024,2,9,WDS,2.6730615217391303
2,2024-02-10,2024,2,10,O3,2.4033485652173914
2,2024-02-10,2024,2,10,PM10,34.51578913043478
2,2024-02-10,2024,2,10,PM2,15.582376608695652
2,2024-02-10,2024,2,10,RAIN,0.0008695652173913044
2,2024-02-10,2024,2,10,RH,69.56467347826087
2,2024-02-10,2024,2,10,So2,1.1891402608695651
2,2024-02-10,2024,2,10,WDD,212.34739434782608
2,2024-02-10,2024,2,10,WDS,3.297119565217391
2,2024-02-11,2024,2,11,O3,3.6135480869565213
2,2024-02-11,2024,2,11,PM10,31.364724347826087
2,2024-02-11,2024,2,11,PM2,15.090856
2,2024-02-11,2024,2,11,RAIN,6.039130434782609e-05
2,2024-02-11,2024,2,11,RH,67.74711304347827
2,2024-02-11,2024,2,11,So2,1.2462484999999999
2,2024-02-11,2024,2,11,WDD,189.81631913043478
2,2024-02-11,2024,2,11,WDS,2.389138695652174
2,2024-02-12,2024,2,12,O3,5.223046
2,2024-02-12,2024,2,12,PM10,45.32316217391304
2,2024-02-12,2024,2,12,PM2,18.498771347826086
2,2024-02-12,2024,2,12,RAIN,0.0019142608695652172
2,2024-02-12,2024,2,12,RH,71.30841739130435
2,2024-02-12,2024,2,12,So2,3.3790035652173915
2,2024-02-12,2024,2,12,WDD,186.32421652173912
2,2024-02-12,2024,2,12,WDS,2.849788608695652
2,2024-02-13,2024,2,13,O3,6.704737913043478
2,2024-02-13,2024,2,13,PM10,51.839482608695654
2,2024-02-13,2024,2,13,PM2,27.67064352173913
