station,year,month,hour,variable,avg_value
20,2024,3,10,WDS,2.5480401111111113
20,2024,3,11,PM10,24.14368
20,2024,3,11,PM2,17.55745625
20,2024,3,11,RAIN,0.0
20,2024,3,11,RH,60.95199625
20,2024,3,11,So2,7.0502518571428565
20,2024,3,11,WDD,153.95177375
20,2024,3,11,WDS,2.79607625
20,2024,3,12,PM10,21.85771222222222
20,2024,3,12,PM2,13.959668666666666
20,2024,3,12,RAIN,0.0
20,2024,3,12,RH,55.97038444444444
20,2024,3,12,So2,13.027638333333334
20,2024,3,12,WDD,168.18038888888887
20,2024,3,12,WDS,2.9143826666666666
20,2024,3,13,PM10,22.828848999999998
20,2024,3,13,PM2,12.8712143
20,2024,3,13,RAIN,0.0
20,2024,3,13,RH,53.464237000000004
20,2024,3,13,So2,8.44161488888889
20,2024,3,13,WDD,175.63554
20,2024,3,13,WDS,2.6670696
20,2024,3,14,PM10,20.61889111111111
20,2024,3,14,PM2,13.709414666666667
20,2024,3,14,RAIN,0.0
20,2024,3,14,RH,53.710771111111114
20,2024,3,14,So2,6.4984906250000005
20,2024,3,14,WDD,155.39767777777777
20,2024,3,14,WDS,2.7094754444444447
20,2024,3,15,PM10,19.085681
20,2024,3,15,PM2,12.90986788888889
20,2024,3,15,RAIN,0.0
20,2024,3,15,RH,51.274274444444444
20,2024,3,15,So2,4.433233777777778
20,2024,3,15,WDD,167.1627
20,2024,3,15,WDS,2.7681791111111114
20,2024,3,16,PM10,42.283095555555555
20,2024,3,16,PM2,16.150618666666666
20,2024,3,16,RAIN,2.061142222222222
20,2024,3,16,RH,54.32319444444445
20,2024,3,16,So2,4.67919675
20,2024,3,16,WDD,191.03346666666664
20,2024,3,16,WDS,2.595
20,2024,3,17,PM10,38.33786625
20,2024,3,17,PM2,14.506401625
20,2024,3,17,RAIN,0.021423625
20,2024,3,17,RH,57.900365
20,2024,3,17,So2,3.8941512499999997
20,2024,3,17,WDD,136.61230375
20,2024,3,17,WDS,2.351857625
20,2024,3,18,PM10,35.17024428571428
20,2024,3,18,PM2,15.175358285714285
20,2024,3,18,RAIN,0.12956342857142858
20,2024,3,18,RH,63.46319428571429
20,2024,3,18,So2,2.986107
20,2024,3,18,WDD,134.52414714285715
20,2024,3,18,WDS,1.7296032857142856
20,2024,3,19,PM10,30.90579375
20,2024,3,19,PM2,14.39631125
20,2024,3,19,RAIN,0.0
20,2024,3,19,RH,72.9785775
20,2024,3,19,So2,3.733192666666667
20,2024,3,19,WDD,131.8914625
20,2024,3,19,WDS,1.57439225
20,2024,3,20,PM10,33.19316875
20,2024,3,20,PM2,18.289715
20,2024,3,20,RAIN,0.0
20,2024,3,20,RH,78.73619875
20,2024,3,20,So2,6.629207
20,2024,3,20,WDD,124.49656375
20,2024,3,20,WDS,1.521823
20,2024,3,21,PM10,36.90926888888889
20,2024,3,21,PM2,19.938023333333334
20,2024,3,21,RAIN,1.406728888888889
20,2024,3,21,RH,80.98001444444445
20,2024,3,21,So2,6.751598666666666
20,2024,3,21,WDD,159.0304311111111
20,2024,3,21,WDS,1.142716
20,2024,3,22,PM10,39.20026333333333
20,2024,3,22,PM2,21.694228111111112
20,2024,3,22,RAIN,0.023024666666666666
20,2024,3,22,RH,82.13498666666666
20,2024,3,22,So2,3.7374387142857146
20,2024,3,22,WDD,145.72744777777777
20,2024,3,22,WDS,0.9387653333333333
20,2024,4,0,PM10,38.49722083333333
20,2024,4,0,PM2,22.522244083333334
20,2024,4,0,RAIN,0.0
20,2024,4,0,RH,83.75472166666667
20,2024,4,0,So2,30.203958333333333
20,2024,4,0,WDD,125.15170833333333
20,2024,4,0,WDS,0.9617939166666667
20,2024,4,1,PM10,36.80360233333334
20,2024,4,1,PM2,23.22440288888889
20,2024,4,1,RAIN,0.03311733333333333
20,2024,4,1,RH,83.93381
20,2024,4,1,So2,22.319224000000002
20,2024,4,1,WDD,127.35941555555557
20,2024,4,1,WDS,0.8249227777777778
20,2024,4,2,PM10,32.72204688888889
20,2024,4,2,PM2,21.711358333333337
20,2024,4,2,RAIN,0.19283766666666666
20,2024,4,2,RH,85.07077111111111
20,2024,4,2,So2,20.931667444444443
20,2024,4,2,WDD,153.0681211111111
20,2024,4,2,WDS,0.7529474444444444
20,2024,4,3,PM10,28.816735555555553
20,2024,4,3,PM2,20.538280333333333
20,2024,4,3,RAIN,0.19939811111111108
20,2024,4,3,RH,86.47050777777777
20,2024,4,3,So2,18.94195577777778
20,2024,4,3,WDD,174.6197211111111
20,2024,4,3,WDS,0.8681635555555556
20,2024,4,4,PM10,27.308999777777778
20,2024,4,4,PM2,19.421536555555555
20,2024,4,4,RAIN,0.03517766666666667
20,2024,4,4,RH,86.73618777777779
20,2024,4,4,So2,20.167291111111112
20,2024,4,4,WDD,169.02700777777778
20,2024,4,4,WDS,1.0443982222222221
20,2024,4,5,PM10,27.577529666666667
20,2024,4,5,PM2,20.279714666666667
20,2024,4,5,RAIN,0.05223766666666666
20,2024,4,5,RH,86.34424333333334
20,2024,4,5,So2,20.017193111111112
20,2024,4,5,WDD,179.51084444444444
20,2024,4,5,WDS,1.0840740000000002
20,2024,4,6,PM10,28.07466111111111
20,2024,4,6,PM2,18.356653666666666
20,2024,4,6,RAIN,0.03895066666666666
20,2024,4,6,RH,86.22535555555555
20,2024,4,6,So2,18.663753777777778
20,2024,4,6,WDD,182.52140444444444
20,2024,4,6,WDS,0.9610803333333333
20,2024,4,7,PM10,35.0657504
20,2024,4,7,PM2,19.4351021
20,2024,4,7,RAIN,0.0084251
20,2024,4,7,RH,84.73548600000001
20,2024,4,7,So2,21.849424399999997
20,2024,4,7,WDD,198.339872
20,2024,4,7,WDS,0.9500833
20,2024,4,8,PM10,51.1912288
20,2024,4,8,PM2,22.9162222
20,2024,4,8,RAIN,0.0018333
20,2024,4,8,RH,80.277333
20,2024,4,8,So2,22.4069565
20,2024,4,8,WDD,216.10464000000002
20,2024,4,8,WDS,1.3454305
20,2024,4,9,PM10,53.9247817
20,2024,4,9,PM2,18.902503099999997
20,2024,4,9,RAIN,0.0
20,2024,4,9,RH,74.016377
20,2024,4,9,So2,19.7894277
20,2024,4,9,WDD,202.39840999999998
20,2024,4,9,WDS,1.6881554
20,2024,4,10,PM10,16.448275000000002
20,2024,4,10,PM2,14.303116900000001
20,2024,4,10,RAIN,0.0
20,2024,4,10,RH,68.280543
20,2024,4,10,So2,17.009664333333333
20,2024,4,10,WDD,209.03244
20,2024,4,10,WDS,1.7935972
20,2024,4,11,PM10,13.245552600000002
20,2024,4,11,PM2,10.8986084
20,2024,4,11,RAIN,0.0136579
20,2024,4,11,RH,65.35207
20,2024,4,11,So2,16.502100111111112
20,2024,4,11,WDD,188.33304
20,2024,4,11,WDS,2.0185417
20,2024,4,12,PM10,11.4871252
20,2024,4,12,PM2,9.1889447
20,2024,4,12,RAIN,0.05525
20,2024,4,12,RH,63.857876
20,2024,4,12,So2,21.3026522
20,2024,4,12,WDD,188.4678
20,2024,4,12,WDS,2.0572082000000003
20,2024,4,13,PM10,16.4580767
20,2024,4,13,PM2,7.8706403
20,2024,4,13,RAIN,0.09475
20,2024,4,13,RH,60.470791
20,2024,4,13,So2,19.1681313
20,2024,4,13,WDD,193.4154
20,2024,4,13,WDS,2.198903
20,2024,4,14,PM10,13.4687588
20,2024,4,14,PM2,11.4325499
20,2024,4,14,RAIN,0.1194722
20,2024,4,14,RH,62.793625
20,2024,4,14,So2,18.4546332
20,2024,4,14,WDD,193.44501
20,2024,4,14,WDS,2.5151247999999997
20,2024,4,15,PM10,13.8481389
20,2024,4,15,PM2,10.701415299999999
20,2024,4,15,RAIN,0.0188889
20,2024,4,15,RH,65.239667
20,2024,4,15,So2,19.3504197
